id,agent_id,agent_name,tier_y,tier_x,tenure,pif_x_auto,pif_x_home,pif_x_otherpc,pif_x_financial,pif_x_total,BusZip5,BusZip3,created_at,updated_at,multiline,retention,pif_y_home,pif_y_hvh,pif_y_other,pif_y_total,premium_y_total,agent_city
1398,1398,Elijah Moore Agency,5,1,3-5,12084,6400,1865,4632,24981,60134,601,2014-09-13 00:00:00,2014-09-13 00:00:00,0.19,0.22,14,32,226,310,294500,Miami
7515,7515,Dylan Patel Agency,5,1,11+,12755,1719,1876,6532,22882,33328,333,2014-09-13 00:00:00,2014-09-13 00:00:00,0.22,0.11,703,9,267,51,51510,Miami
2651,2651,Isaac King Assoc,3,4,3-5,3142,3057,1574,4198,11971,40475,404,2014-09-13 00:00:00,2014-09-13 00:00:00,0.42,0.36,310,17,72,698,767800,New York
7690,7690,Jayden Cox Assoc,2,5,,10486,1865,4368,4787,21506,8535,85,2014-09-13 00:00:00,2014-09-13 00:00:00,0.71,0.67,468,34,300,421,463100,Miami
2889,2889,Christian Long Team,5,4,0-2,14658,4095,2788,1193,22734,47802,478,2014-09-13 00:00:00,2014-09-13 00:00:00,0.22,0.29,291,80,615,298,306940,Boston
3584,3584,Anthony Long Enterprise,3,5,0-2,4237,5025,1959,3788,15009,28031,280,2014-09-13 00:00:00,2014-09-13 00:00:00,0.45,0.37,79,87,1074,263,270890,Tucson
4152,4152,Austin Rivera Assoc,5,2,11+,14861,6218,12,3417,24508,98103,981,2014-09-13 00:00:00,2014-09-13 00:00:00,0.18,0.13,377,91,683,489,533010,Seattle
5619,5619,Noah Wright Team,1,1,0-2,11128,1548,6759,3449,22884,29054,290,2014-09-13 00:00:00,2014-09-13 00:00:00,0.95,0.82,221,69,621,765,818550,Chicago
8203,8203,Liam Allen Inc,4,5,6-10,1008,7102,366,5992,14468,32703,327,2014-09-13 00:00:00,2014-09-13 00:00:00,0.47,0.43,90,59,604,974,1042180,New York
8213,8213,Ryan Garcia LLC,1,2,6-10,19994,1919,7530,1566,31009,32817,328,2014-09-13 00:00:00,2014-09-13 00:00:00,0.75,0.82,483,100,865,312,333840,Seattle
5017,5017,William Nelson Group,2,4,0-2,10922,6169,4152,1848,23091,29609,296,2014-09-13 00:00:00,2014-09-13 00:00:00,0.88,0.95,977,10,82,740,814000,Seattle
7184,7184,Ethan Hill Insurance,3,5,6-10,10775,580,4807,3562,19724,33980,339,2014-09-13 00:00:00,2014-09-13 00:00:00,0.65,0.51,937,16,294,576,627840,Miami
370,370,Hudson Phillips Enterprise,5,2,3-5,16813,2528,1841,2893,24075,80014,800,2014-09-13 00:00:00,2014-09-13 00:00:00,0.17,0.26,791,11,618,471,532230,New York
8034,8034,Landon Reed Insurance,3,1,11+,1542,3221,3227,189,8179,91780,917,2014-09-13 00:00:00,2014-09-13 00:00:00,0.52,0.60,463,20,1231,209,198550,Chicago
5514,5514,Tristan Fisher Insurance,1,5,11+,15360,7825,5571,7062,35818,90745,907,2014-09-13 00:00:00,2014-09-13 00:00:00,0.89,0.91,139,45,209,1587,1507650,Springfield
3343,3343,Logan Lopez Assoc,2,4,11+,17090,3655,1942,6988,29675,47130,471,2014-09-13 00:00:00,2014-09-13 00:00:00,0.66,0.74,245,3,1594,143,135850,New York
1101,1101,Hunter Adams Team,4,2,0-2,12770,7721,5015,7342,32848,98144,981,2014-09-13 00:00:00,2014-09-13 00:00:00,0.36,0.49,801,33,820,344,371520,Seattle
536,536,Bob Robertson Assoc,2,5,11+,16074,250,5440,1237,23001,22151,221,2014-09-13 00:00:00,2014-09-13 00:00:00,0.95,0.91,775,95,46,1101,1211100,Springfield
2274,2274,Henry Parker Agency,3,1,0-2,12765,3275,4934,814,21788,11021,110,2014-09-13 00:00:00,2014-09-13 00:00:00,0.46,0.60,156,61,843,981,1000620,Tucson
1437,1437,Jordan Ramirez Inc,3,3,11+,4057,7023,6853,2799,20732,30907,309,2014-09-13 00:00:00,2014-09-13 00:00:00,0.38,0.56,519,23,178,1322,1308780,San Francisco
8053,8053,Eric Robinson Team,5,5,,5356,1180,4313,2938,13787,7090,70,2014-09-13 00:00:00,2014-09-13 00:00:00,0.08,0.11,1658,65,295,62,69440,Seattle
1189,1189,William Harris Insurance,5,2,0-2,293,2110,3230,5588,11221,62095,620,2014-09-13 00:00:00,2014-09-13 00:00:00,0.06,0.24,1555,5,107,494,548340,New York
223,223,Elijah Baker Insurance,2,5,3-5,18901,3441,3272,2398,28012,89149,891,2014-09-13 00:00:00,2014-09-13 00:00:00,0.74,0.94,925,9,498,761,814270,Orlando
330,330,Evan Ramirez Team,2,4,11+,16781,7723,3057,2191,29752,63044,630,2014-09-13 00:00:00,2014-09-13 00:00:00,0.70,0.73,1924,97,174,17,16150,Seattle
1065,1065,Owen Torres LLC,5,1,0-2,19419,275,1166,62,20922,91387,913,2014-09-13 00:00:00,2014-09-13 00:00:00,0.29,0.23,246,68,1950,10,9600,San Francisco
8110,8110,Bob Parker Group,3,5,11+,6374,3225,3415,3180,16194,94513,945,2014-09-13 00:00:00,2014-09-13 00:00:00,0.61,0.44,1308,15,175,842,943040,Los Angeles
4030,4030,Jace Torres Agency,4,3,3-5,218,3908,5119,4165,13410,34667,346,2014-09-13 00:00:00,2014-09-13 00:00:00,0.42,0.50,525,21,871,966,946680,Orlando
6836,6836,Hudson Gomez Enterprise,5,4,,722,7036,7030,3181,17969,7869,78,2014-09-13 00:00:00,2014-09-13 00:00:00,0.29,0.14,1615,44,655,105,120750,Orlando
4169,4169,Jordan Edwards Inc,1,4,11+,14126,4644,7504,7760,34034,26241,262,2014-09-13 00:00:00,2014-09-13 00:00:00,0.80,0.71,1031,1,209,1190,1332800,Orlando
1675,1675,Sebastian Robertson Assoc,1,4,0-2,12143,3342,5524,5615,26624,60445,604,2014-09-13 00:00:00,2014-09-13 00:00:00,0.95,0.94,949,52,1344,103,110725,Tucson
7322,7322,Eric Lopez Assoc,1,2,0-2,13703,7252,4093,5506,30554,96002,960,2014-09-13 00:00:00,2014-09-13 00:00:00,0.89,0.66,756,28,1280,400,444000,San Francisco
450,450,Eli Evans Group,3,4,11+,1189,6408,3951,7510,19058,30022,300,2014-09-13 00:00:00,2014-09-13 00:00:00,0.38,0.42,431,90,1822,232,243600,Seattle
674,674,Jason Clark Group,1,2,0-2,10894,145,4614,927,16580,60706,607,2014-09-13 00:00:00,2014-09-13 00:00:00,0.89,0.68,1352,62,853,330,323400,Seattle
5698,5698,Levi Lopez Team,1,3,,17066,4590,7519,4764,33939,78258,782,2014-09-13 00:00:00,2014-09-13 00:00:00,0.91,0.78,955,3,564,1075,1064250,Chicago
8003,8003,Connor Hernandez Group,1,3,11+,12692,3246,5305,3736,24979,29708,297,2014-09-13 00:00:00,2014-09-13 00:00:00,0.87,0.69,365,14,918,1376,1389760,Chicago
4329,4329,Luis Gomez LLC,2,3,11+,5902,6069,6684,2525,21180,98661,986,2014-09-13 00:00:00,2014-09-13 00:00:00,0.92,0.66,1609,50,624,415,427450,Seattle
2635,2635,Thomas Fisher Assoc,3,2,3-5,10499,2739,1932,1871,17041,98005,980,2014-09-13 00:00:00,2014-09-13 00:00:00,0.58,0.43,179,79,1135,1336,1309280,Los Angeles
2136,2136,Daniel Ramirez Group,3,1,11+,14994,3408,2639,4011,25052,11364,113,2014-09-13 00:00:00,2014-09-13 00:00:00,0.53,0.65,1189,76,1335,134,128640,Seattle
5097,5097,Gavin King Inc,4,4,3-5,3984,2877,1231,4182,12274,6443,64,2014-09-13 00:00:00,2014-09-13 00:00:00,0.53,0.61,1297,76,224,1173,1137810,Seattle
2513,2513,Luis Reyes Agency,1,4,0-2,8362,517,7131,2065,18075,60657,606,2014-09-13 00:00:00,2014-09-13 00:00:00,0.94,0.74,1357,5,56,1397,1564640,Orlando
5255,5255,Brandon Peterson Agency,5,1,11+,18046,2544,969,6150,27709,80033,800,2014-09-13 00:00:00,2014-09-13 00:00:00,0.30,0.25,624,64,772,1374,1497660,Tucson
7493,7493,Nolan Fisher Group,4,5,3-5,4900,1769,4444,7319,18432,27288,272,2014-09-13 00:00:00,2014-09-13 00:00:00,0.47,0.47,1240,9,756,862,922340,Orlando
6028,6028,Dylan Thomas Assoc,2,4,0-2,12223,5864,1636,2733,22456,29649,296,2014-09-13 00:00:00,2014-09-13 00:00:00,0.69,0.76,1026,64,798,1004,1104400,Seattle
5389,5389,Andrew Gonzalez Inc,5,2,0-2,18197,5216,914,7779,32106,78666,786,2014-09-13 00:00:00,2014-09-13 00:00:00,0.14,0.29,237,17,1480,1202,1238060,Boston
6958,6958,Cooper Thompson Group,3,1,0-2,10292,1603,1459,5710,19064,6410,64,2014-09-13 00:00:00,2014-09-13 00:00:00,0.56,0.35,256,47,293,2360,2242000,Springfield
3319,3319,Evan Harris Agency,2,1,11+,10213,5319,3063,2516,21111,15146,151,2014-09-13 00:00:00,2014-09-13 00:00:00,0.66,0.83,1990,47,497,440,501600,Boston
3670,3670,Luke Brown Assoc,1,3,6-10,15593,5161,7925,5924,34603,41139,411,2014-09-13 00:00:00,2014-09-13 00:00:00,0.70,0.94,299,42,1022,1624,1753920,New York
4451,4451,Damian Fisher Insurance,1,3,3-5,14473,6861,5443,1309,28086,66203,662,2014-09-13 00:00:00,2014-09-13 00:00:00,0.92,0.82,1457,76,814,667,680340,Orlando
6696,6696,Ian Long Team,5,4,0-2,13040,3209,1603,4688,22540,91786,917,2014-09-13 00:00:00,2014-09-13 00:00:00,0.25,0.05,587,52,417,1958,1918840,Springfield
5632,5632,Jonathan Ortiz LLC,1,1,0-2,11092,4370,6729,3995,26186,27613,276,2014-09-13 00:00:00,2014-09-13 00:00:00,0.70,0.93,1541,23,259,1200,1248000,New York
4074,4074,Samuel King Enterprise,4,2,11+,6594,3361,2155,3073,15183,11772,117,2014-09-13 00:00:00,2014-09-13 00:00:00,0.58,0.49,2468,48,378,149,150490,Boston
1554,1554,Parker Cook Inc,5,2,11+,4219,3585,5641,1072,14517,46204,462,2014-09-13 00:00:00,2014-09-13 00:00:00,0.10,0.10,579,8,2108,361,368220,Orlando
1649,1649,Joshua Price Group,4,2,11+,10368,5327,7806,645,24146,14623,146,2014-09-13 00:00:00,2014-09-13 00:00:00,0.46,0.52,2009,28,226,827,876620,Orlando
4487,4487,Henry Phillips Agency,2,3,0-2,11890,6067,4703,5738,28398,44483,444,2014-09-13 00:00:00,2014-09-13 00:00:00,0.66,0.67,2114,18,919,110,117700,Springfield
2356,2356,Isaac Long Insurance,4,4,6-10,4304,7415,5706,3827,21252,29662,296,2014-09-13 00:00:00,2014-09-13 00:00:00,0.40,0.54,659,55,429,2024,2266880,San Francisco
1750,1750,Ethan Wong Enterprise,2,3,0-2,18184,7688,7545,7363,40780,60446,604,2014-09-13 00:00:00,2014-09-13 00:00:00,0.92,0.87,1159,2,434,1576,1765120,San Francisco
206,206,Tristan Nguyen Assoc,4,4,3-5,12689,6656,948,6698,26991,60532,605,2014-09-13 00:00:00,2014-09-13 00:00:00,0.65,0.50,1243,8,1277,672,745920,Springfield
1907,1907,Damian Watson Team,1,4,11+,19216,3643,1559,4419,28837,3079,30,2014-09-13 00:00:00,2014-09-13 00:00:00,0.92,0.92,199,72,16,2938,3026140,Tucson
3845,3845,Robert Gonzalez Enterprise,4,2,3-5,6656,5661,6914,4684,23915,72745,727,2014-09-13 00:00:00,2014-09-13 00:00:00,0.37,0.64,1097,93,1176,882,917280,Boston
4829,4829,Chase Scott LLC,2,1,,4256,7171,4186,7458,23071,7747,77,2014-09-13 00:00:00,2014-09-13 00:00:00,0.73,0.85,2746,18,488,35,37625,Tucson
3420,3420,Samuel Hall Assoc,3,3,3-5,16904,664,422,837,18827,75773,757,2014-09-13 00:00:00,2014-09-13 00:00:00,0.57,0.42,867,94,1251,1090,1057300,Seattle
1136,1136,Michael Bailey Insurance,1,5,0-2,11443,7210,2822,6008,27483,44240,442,2014-09-13 00:00:00,2014-09-13 00:00:00,0.78,0.90,716,61,585,1942,2087650,Chicago
8103,8103,Ryan Peterson Insurance,3,3,11+,1275,3694,1181,1930,8080,78504,785,2014-09-13 00:00:00,2014-09-13 00:00:00,0.38,0.51,965,55,701,1595,1834250,Seattle
4302,4302,James Gomez Agency,1,4,0-2,17471,185,3786,7275,28717,97058,970,2014-09-13 00:00:00,2014-09-13 00:00:00,0.80,0.67,1948,33,1315,30,31800,Chicago
5195,5195,Damian Collins Agency,5,3,0-2,16751,7331,3906,5709,33697,63010,630,2014-09-13 00:00:00,2014-09-13 00:00:00,0.24,0.28,593,46,1131,1591,1829650,Chicago
7584,7584,Matthew Brooks Insurance,3,5,11+,17084,437,7666,4478,29665,32940,329,2014-09-13 00:00:00,2014-09-13 00:00:00,0.40,0.59,1093,43,1425,807,831210,Seattle
3236,3236,Jason White Insurance,1,5,11+,5192,6155,4065,3007,18419,75670,756,2014-09-13 00:00:00,2014-09-13 00:00:00,0.84,0.88,817,67,1146,1384,1439360,Boston
7929,7929,Anthony Thomas Agency,3,5,11+,4174,4165,4017,1678,14034,70739,707,2014-09-13 00:00:00,2014-09-13 00:00:00,0.51,0.58,1161,16,716,1522,1537220,New York
5928,5928,Alexander Brown Assoc,5,4,11+,11309,4863,2874,5164,24210,31545,315,2014-09-13 00:00:00,2014-09-13 00:00:00,0.20,0.19,1104,18,1026,1284,1322520,New York
510,510,Josiah White LLC,1,3,0-2,7715,4044,6036,1102,18897,78216,782,2014-09-13 00:00:00,2014-09-13 00:00:00,0.84,0.90,1045,31,422,1996,2275440,Boston
7118,7118,Damian Ward Insurance,2,4,11+,17175,3651,921,6326,28073,91977,919,2014-09-13 00:00:00,2014-09-13 00:00:00,0.77,0.81,1660,93,145,1598,1773780,Orlando
1099,1099,Gavin Moore Enterprise,5,4,,6777,5991,3882,5846,22496,64068,640,2014-09-13 00:00:00,2014-09-13 00:00:00,0.17,0.07,155,29,2015,1313,1299870,Orlando
4387,4387,Matthew Thomas Assoc,4,4,3-5,6857,3165,1470,6944,18436,80525,805,2014-09-13 00:00:00,2014-09-13 00:00:00,0.37,0.60,934,93,716,1776,1971360,Tucson
1998,1998,Christopher Adams LLC,2,5,3-5,12450,712,4325,3223,20710,12309,123,2014-09-13 00:00:00,2014-09-13 00:00:00,0.75,0.78,1209,46,2057,224,246400,Orlando
8148,8148,Ian Walker Assoc,2,4,6-10,18955,2001,4814,2127,27897,95122,951,2014-09-13 00:00:00,2014-09-13 00:00:00,0.94,0.91,1175,48,1063,1255,1430700,Los Angeles
810,810,Ethan Richardson Agency,4,2,0-2,2885,3200,5644,3371,15100,28304,283,2014-09-13 00:00:00,2014-09-13 00:00:00,0.41,0.39,1666,29,677,1245,1257450,Los Angeles
5992,5992,Benjamin Foster Assoc,5,4,11+,1758,6380,1839,5979,15956,30214,302,2014-09-13 00:00:00,2014-09-13 00:00:00,0.25,0.16,1636,27,1167,817,939550,San Francisco
4847,4847,Cameron Gomez Inc,1,5,11+,14804,7779,1705,2431,26719,26501,265,2014-09-13 00:00:00,2014-09-13 00:00:00,0.84,0.71,2387,78,232,951,979530,Tucson
1683,1683,Joseph Parker Enterprise,4,3,6-10,8509,6003,5186,7948,27646,37601,376,2014-09-13 00:00:00,2014-09-13 00:00:00,0.63,0.44,1677,45,238,1692,1810440,San Francisco
4521,4521,Bryson Anderson Inc,4,1,11+,7115,6682,5554,266,19617,98382,983,2014-09-13 00:00:00,2014-09-13 00:00:00,0.53,0.64,1257,66,559,1782,2049300,Springfield
1456,1456,Landon Kelly LLC,5,3,0-2,9122,6998,808,6538,23466,29302,293,2014-09-13 00:00:00,2014-09-13 00:00:00,0.06,0.19,1036,45,887,1706,1910720,New York
