ID,"
ZIP",Total PIF Q1 2010,Total PIF Q2 2010,Total PIF Q3 2010,Total PIF Q4 2010,Total PIF Q1 2011,P&C PIF Q1 2010,P&C PIF Q2 2010,P&C PIF Q3 2010,P&C PIF Q4 2010,P&C PIF Q1 2011,AF PIF Q1 2010,AF PIF Q2 2010,AF PIF Q3 2010,AF PIF Q4 2010,AF PIF Q1 2011,% multi-line Q1 2010,% multi-line Q2 2010,% multi-line Q3 2010,% multi-line Q4 2010,% multi-line Q1 2011,% Retention Q1 2010,% Retention Q2 2010,% Retention Q3 2010,% Retention Q4 2010,% Retention Q1 2011,created_at,updated_at
1,10,110,441,469,446,395,23,225,431,224,285,80,304,311,301,411,58,79,97,95,1,22,54,31,53,0,14/9/18 0:00,14/9/18 0:00
2,11,408,256,404,62,481,83,356,101,299,95,263,433,158,323,177,7,51,26,30,40,74,14,15,69,17,14/9/18 0:00,14/9/18 0:00
3,12,219,386,57,420,228,223,144,399,33,406,13,402,457,335,116,86,54,46,53,51,66,32,93,2,70,14/9/18 0:00,14/9/18 0:00
4,13,341,388,66,109,463,153,305,367,200,198,182,68,388,339,108,6,28,73,87,6,70,27,48,66,87,14/9/18 0:00,14/9/18 0:00
5,14,145,346,466,107,462,17,92,336,15,429,421,6,384,27,207,26,57,75,37,66,54,67,15,15,8,14/9/18 0:00,14/9/18 0:00
6,15,11,95,155,447,365,333,173,466,235,146,364,236,63,159,460,18,94,11,73,6,43,72,44,63,28,14/9/18 0:00,14/9/18 0:00
7,16,355,477,489,307,153,95,109,392,385,296,387,269,16,83,242,62,55,16,31,92,87,28,71,94,44,14/9/18 0:00,14/9/18 0:00
8,17,452,221,327,198,388,14,63,172,146,3,77,485,242,141,213,21,96,66,2,81,67,11,93,9,90,14/9/18 0:00,14/9/18 0:00
9,18,195,213,394,441,274,179,17,28,253,218,233,124,78,146,135,76,16,45,83,43,48,22,43,79,36,14/9/18 0:00,14/9/18 0:00
10,19,416,101,234,287,28,481,381,80,295,343,68,391,143,205,403,40,66,89,89,26,56,62,44,43,22,14/9/18 0:00,14/9/18 0:00
11,20,134,118,252,138,248,155,253,181,354,409,270,5,278,330,343,86,41,94,87,28,30,47,59,58,55,14/9/18 0:00,14/9/18 0:00
12,21,428,58,254,479,469,441,191,229,335,450,161,428,104,78,361,38,21,46,4,33,62,63,84,26,55,14/9/18 0:00,14/9/18 0:00
13,22,253,159,315,219,435,447,377,332,209,149,217,156,171,58,304,66,29,55,24,59,66,76,33,62,6,14/9/18 0:00,14/9/18 0:00
14,23,405,207,225,497,43,167,464,166,58,157,113,187,460,450,10,40,29,24,100,96,97,40,21,60,69,14/9/18 0:00,14/9/18 0:00
15,24,211,74,390,376,256,245,98,51,395,458,362,412,291,50,344,33,99,3,65,19,4,1,41,89,34,14/9/18 0:00,14/9/18 0:00
16,25,54,168,85,384,336,142,87,323,149,475,294,26,170,421,172,24,77,52,51,67,89,14,27,77,4,14/9/18 0:00,14/9/18 0:00
17,26,391,259,7,43,364,315,55,345,300,23,244,37,193,130,131,12,36,34,81,47,38,3,31,11,34,14/9/18 0:00,14/9/18 0:00
18,27,402,403,431,220,401,241,230,387,326,341,86,175,268,336,409,63,42,23,91,12,74,2,39,3,34,14/9/18 0:00,14/9/18 0:00
19,28,322,446,41,344,100,18,32,306,455,293,108,281,297,402,25,28,16,19,91,10,35,92,56,74,43,14/9/18 0:00,14/9/18 0:00
20,29,461,397,382,248,437,31,277,352,70,208,4,217,391,86,274,74,9,8,78,18,33,12,73,47,3,14/9/18 0:00,14/9/18 0:00
