id,zip,Market Potential,Agency Presence,Competitive Assessment,Customer Behavior,Luxury Automobiles,Motorcycles,High Value Homes,Likely to Purchase New Car This Year,Likely to Purchase New Home This Year,Likely to Retire This Year,Household Income,Household Net Worth,Agent Coverage,Tier 1 Agents,Tier 2 Agents,Tier 3 Agents,Auto Policies in Force,Home Policies in Force,Total Policies in Force,Auto Policy Growth (YoY),Home Policy Growth (YoY),Total Policy Growth (YoY),Customer Base Loyal,Customer Base Disloyal to Competitors,Retention Rate,Multiline Percentage,Retention Rate Growth (YoY),Multiline Percentage Growth (YoY),Willing to Pay for Quality,Brand Loyalty,Luxury Tastes,Sends Word of Mouth,Personal Touch Loyalty,Household Count,Overall Weighted ZIP Index Score,Urbanicity,Company Footprint,Urban,Rural,Suburban,Present,Absent,varid_43,varid_44,varid_45,varid_46,varid_47,varid_48,varid_49,varid_50,varid_51,varid_52,varid_53,varid_54,varid_55,varid_56,varid_57,varid_58,varid_59,varid_60,varid_61,varid_62,varid_63,varid_64,varid_65,varid_66,varid_67,varid_68,varid_69,varid_70,varid_71,varid_72,varid_73,varid_74,varid_75,varid_76,varid_77,varid_78,varid_79,varid_80,varid_81,varid_82,varid_83,varid_84,varid_85,varid_86,varid_87,varid_88,varid_89,varid_90,varid_91,varid_92,varid_93,varid_94,varid_95,varid_96,varid_97,varid_98,varid_99,varid_100,varid_101,varid_102,varid_103,varid_104,varid_105,varid_106,varid_107,varid_108,varid_109,varid_110,varid_111,varid_112,varid_113,varid_114,varid_115,varid_116,varid_117,varid_118,varid_119,varid_120,varid_121,varid_122,varid_123,varid_124,varid_125,varid_126,varid_127,varid_128,varid_129,varid_130,varid_131,varid_132,varid_133,varid_134,varid_135,varid_136,varid_137,varid_138,varid_139,varid_140,varid_141,varid_142,varid_143,varid_144,varid_145,varid_146,varid_147,varid_148,varid_149,varid_150,created_at,updated_at
1,010,0,0,0,0,0.32,0.08,0.26,0.14,0.06,0.03,0.28,0.92,0.33,0.58,0.09,0.45,0.08,1.06,0.55,0.51,0.85,0.43,0.39,0.51,0.62,0.63,0.38,0.56,0.41,0.26,0.47,0.81,0.37,0.43,0.45,0,0,1,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
2,011,0,0,0,0,0.01,0.20,0.34,0.15,0.06,0.03,0.26,0.75,0.27,0.49,0.09,0.51,0.08,0.91,0.50,0.71,0.88,0.39,0.39,0.51,0.55,0.65,0.44,0.67,0.51,0.21,0.50,1.09,0.51,0.41,0.52,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
3,012,0,0,0,0,0.00,0.01,0.33,0.12,0.07,0.04,0.30,0.66,0.32,0.49,0.08,0.46,0.10,0.75,0.40,0.56,1.06,0.36,0.45,0.50,0.59,0.49,0.35,0.55,0.51,0.27,0.54,0.91,0.45,0.47,0.42,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
4,013,0,0,0,0,0.02,0.06,0.31,0.13,0.08,0.03,0.32,0.74,0.23,0.58,0.12,0.60,0.08,0.79,0.56,0.62,0.75,0.48,0.51,0.48,0.66,0.53,0.46,0.54,0.48,0.28,0.51,0.89,0.40,0.41,0.49,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
5,014,0,0,0,0,0.18,0.09,0.30,0.15,0.08,0.03,0.31,0.76,0.28,0.49,0.08,0.45,0.09,0.80,0.39,0.71,0.98,0.49,0.47,0.49,0.58,0.45,0.47,0.60,0.45,0.27,0.57,1.11,0.51,0.31,0.41,0,0,1,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
6,015,0,0,0,0,0.01,0.34,0.34,0.11,0.06,0.02,0.26,0.67,0.25,0.55,0.10,0.41,0.09,0.88,0.55,0.60,0.79,0.33,0.40,0.51,0.49,0.53,0.43,0.62,0.55,0.25,0.54,0.82,0.46,0.43,0.40,0,0,1,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
7,016,0,0,0,0,0.04,0.01,0.30,0.15,0.10,0.03,0.33,0.78,0.23,0.68,0.10,0.53,0.07,0.83,0.38,0.70,0.81,0.44,0.44,0.49,0.67,0.54,0.41,0.78,0.55,0.27,0.41,0.95,0.44,0.46,0.42,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
8,017,0,0,0,0,0.01,0.06,0.36,0.12,0.07,0.03,0.28,0.76,0.26,0.47,0.09,0.50,0.07,0.84,0.53,0.53,1.06,0.45,0.42,0.47,0.61,0.46,0.38,0.71,0.39,0.26,0.55,0.92,0.51,0.44,0.44,0,0,1,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
9,018,0,0,0,0,0.33,0.38,0.28,0.14,0.07,0.03,0.31,0.92,0.30,0.51,0.11,0.60,0.08,0.86,0.42,0.52,0.99,0.35,0.47,0.59,0.66,0.54,0.45,0.73,0.52,0.27,0.47,0.95,0.36,0.41,0.40,0,0,1,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
10,019,0,0,0,0,0.31,0.22,0.36,0.12,0.07,0.03,0.33,0.66,0.29,0.62,0.12,0.44,0.08,1.04,0.51,0.62,0.89,0.41,0.49,0.60,0.54,0.57,0.44,0.80,0.57,0.28,0.41,0.75,0.52,0.32,0.38,0,0,1,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
11,020,0,0,0,0,0.15,0.24,0.44,0.08,0.30,0.66,0.62,0.84,0.12,0.88,0.63,0.83,0.78,0.50,0.11,0.99,0.39,0.63,0.86,0.80,0.82,0.80,0.58,0.87,0.41,0.55,0.41,0.13,0.63,0.40,0.29,0,0,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
12,021,0,0,0,0,0.42,0.59,0.35,0.10,0.29,0.82,0.85,0.74,0.12,0.91,0.62,1.12,0.67,0.59,0.11,0.92,0.34,0.56,0.85,1.05,0.99,0.94,0.55,0.84,0.54,0.64,0.47,0.13,0.65,0.41,0.39,0,0,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
13,022,0,0,0,0,0.07,0.03,0.41,0.09,0.33,0.74,0.78,0.75,0.14,0.94,0.65,0.90,0.73,0.65,0.14,0.86,0.36,0.59,0.87,0.95,0.76,0.89,0.70,0.86,0.52,0.61,0.38,0.10,0.83,0.43,0.39,0,0,0,1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2013-11-14 00:00:00,2013-11-14 00:00:00
